+++
RED:UKNet.rut
********************************************************
********************************************************
Probablidad de Bloqueo por usuario con 12 Long. de Onda:
Probablidad de Bloqueo total de la Red: 0.001364
********************************************************
Origen	Destino	Prob.Bloqueo	Saltos
8	33	0.003686	6.000000
8	34	0.000000	1.000000
8	35	0.000000	3.000000
8	36	0.000000	3.000000
8	37	0.000000	3.000000
8	38	0.000000	2.000000
8	39	0.000000	1.000000
8	40	0.000000	1.000000
8	41	0.000000	2.000000
8	42	0.006171	3.000000
9	0	0.000000	1.000000
9	1	0.000000	6.000000
9	2	0.000000	3.000000
9	3	0.000000	5.000000
9	4	0.000000	3.000000
9	5	0.000000	3.000000
9	6	0.000000	3.000000
9	7	0.000000	2.000000
9	8	0.000000	4.000000
9	9	NO TIENE
9	10	0.000361	6.000000
9	11	0.000000	5.000000
9	12	0.000000	3.000000
9	13	0.000000	2.000000
9	14	0.000000	2.000000
9	15	0.000000	1.000000
9	16	0.000000	2.000000
9	17	0.000000	6.000000
9	18	0.000000	5.000000
9	19	0.000000	1.000000
9	20	0.000000	1.000000
9	21	0.000000	2.000000
9	22	0.000000	4.000000
9	23	0.000000	4.000000
9	24	0.000000	2.000000
9	25	0.000000	3.000000
9	26	0.000000	3.000000
9	27	0.000000	5.000000
9	28	0.000000	5.000000
9	29	0.000000	2.000000
9	30	0.000746	5.000000
9	31	0.000000	3.000000
9	32	0.000000	1.000000
9	33	0.000000	4.000000
9	34	0.000000	3.000000
9	35	0.000000	4.000000
9	36	0.000000	4.000000
9	37	0.000000	5.000000
9	38	0.000000	4.000000
9	39	0.000362	3.000000
9	40	0.000000	4.000000
9	41	0.000000	4.000000
9	42	0.000000	2.000000
10	0	0.000000	6.000000
10	1	0.000000	2.000000
10	2	0.013163	4.000000
10	3	0.000000	1.000000
10	4	0.000000	4.000000
10	5	0.015568	4.000000
10	6	0.000000	3.000000
10	7	0.010650	5.000000
10	8	0.000000	2.000000
10	9	0.000000	6.000000
10	10	NO TIENE
10	11	0.000000	1.000000
10	12	0.000000	4.000000
10	13	0.000000	7.000000
10	14	0.000000	5.000000
10	15	0.000000	5.000000
10	16	0.000000	5.000000
